"","whichPrime","trialType","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"1","maleCareer","prime",53095," ",2,77568,"","","","","","",""
"2","","iat",1973,"f",5,89686,"men","men","men","men","women","true",""
"3","","iat",1618,"f",7,91558,"men","men","men","men","women","true",""
"4","","iat",647,"j",9,92460,"women","women","women","men","women","true",""
"5","","iat",888,"f",11,93602,"men","men","men","men","women","true",""
"6","","iat",686,"j",13,94543,"women","women","women","men","women","true",""
"7","","iat",686,"f",15,95484,"men","men","men","men","women","true",""
"8","","iat",666,"j",17,96404,"women","women","women","men","women","true",""
"9","","iat",637,"j",19,97296,"women","women","women","men","women","true",""
"10","","iat",655,"j",21,98205,"women","women","women","men","women","true",""
"11","","iat",949,"j",23,99408,"women","women","women","men","women","true",""
"12","","iat",672,"f",25,100334,"men","men","men","men","women","true",""
"13","","iat",692,"f",27,101279,"men","men","men","men","women","true",""
"14","","iat",588,"f",29,102122,"men","men","men","men","women","true",""
"15","","iat",671,"j",31,103048,"women","women","women","men","women","true",""
"16","","iat",773,"f",33,104076,"men","men","men","men","women","true",""
"17","","iat",630,"j",35,104961,"women","women","women","men","women","true",""
"18","","iat",747,"f",37,105963,"men","men","men","men","women","true",""
"19","","iat",787,"f",39,107004,"men","men","men","men","women","true",""
"20","","iat",701,"f",41,107959,"men","men","men","men","women","true",""
"21","","iat",604,"f",43,108817,"men","men","men","men","women","true",""
"22","","iat",618,"f",45,109690,"men","men","men","men","women","true",""
"23","","iat",899,"j",47,110844,"men","men","men","men","women","false",""
"24","","iat",624,"f",49,111723,"men","men","men","men","women","true",""
"25","","iat",908,"j",51,112886,"women","women","women","men","women","true",""
"26","","iat",624,"j",53,113765,"women","women","women","men","women","true",""
"27","","iat",719,"f",55,114737,"men","men","men","men","women","true",""
"28","","iat",789,"f",57,115781,"women","women","women","men","women","false",""
"29","","iat",1400,"f",59,117436,"men","men","men","men","women","true",""
"30","","iat",730,"j",61,118421,"women","women","women","men","women","true",""
"31","","iat",1553,"j",63,120229,"women","women","women","men","women","true",""
"32","","iat",1179,"j",65,121662,"women","women","women","men","women","true",""
"33","","iat",678,"j",67,122595,"women","women","women","men","women","true",""
"34","","iat",568,"j",69,123417,"women","women","women","men","women","true",""
"35","","iat",587,"j",71,124259,"women","women","women","men","women","true",""
